Index,API,Score,Actual
1,0,0,1
2,0,0,1
3,0,0,1
4,0,0,1
5,0,0,1
6,0,0,1
7,0,0,1
8,0,9.7,1
9,0,0,1
10,0,0,1
11,0,0,1
12,0,0,1
13,0,0,1
14,1,67.62,1
15,0,30.26,1
16,0,0,1
17,0,0,1
18,0,0,1
19,0,0,1
20,0,0,1
21,0,0,1
22,0,0,1
23,0,0,1
24,0,0,1
25,0,0,1
26,0,0,1
27,1,64.41,1
28,0,0,1
29,0,0,1
30,0,0,1
31,0,0,1
32,0,0,1
33,0,0,1
34,0,43.45,1
35,0,28.73,1
36,0,0,1
37,0,0,1
38,0,0,1
39,0,0,1
40,0,0,1
41,0,0,1
42,0,0,1
43,0,0,1
44,0,0,1
45,0,0,1
46,0,20.75,1
47,0,0,1
48,0,0,1
49,0,37.2,1
50,1,70.07,1
51,0,0,1
52,0,0,1
53,0,0,1
54,0,0,1
55,0,0,1
56,0,0,1
57,0,0,1
58,0,0,1
59,0,0,1
60,0,12.86,1
61,0,23.03,1
62,0,0,1
63,0,0,1
64,0,0,1
65,0,23.38,1
66,0,0,1
67,0,0,1
68,0,27.48,1
69,0,0,1
70,0,0,1
71,0,8.4,1
72,0,0,1
73,0,0,1
74,0,10.57,1
75,0,0,1
76,0,0,1
77,0,31.13,1
78,0,0,1
79,0,0,1
80,0,0,1
81,0,0,1
82,0,0,1
83,0,0,1
84,0,0,1
85,0,39.04,1
86,0,27.91,1
87,0,0,1
88,0,0,1
89,0,0,1
90,0,26.37,1
91,0,0,1
92,0,18.22,1
93,0,0,1
94,0,0,1
95,0,46.13,1
96,0,0,1
97,0,0,1
98,1,52.82,1
99,0,12.52,1
100,0,0,1
101,0,49.7,1
102,0,0,1
103,0,0,1
104,0,0,1
105,0,0,1
106,0,49.7,1
107,0,0,1
108,0,0,1
109,0,39.7,1
110,0,0,1
111,0,0,1
112,0,8.03,1
113,0,0,1
114,0,41.37,1
115,0,0,1
116,1,100,1
117,0,0,1
118,0,0,1
119,0,0,1
120,0,0,1
121,0,0,1
122,0,0,1
123,0,0,1
124,0,0,1
125,0,0,1
126,0,0,1
127,0,0,1
128,0,0,1
129,0,0,1
130,0,0,1
131,0,19.27,1
132,0,0,1
133,0,39.04,1
134,0,41.21,1
135,0,0,1
136,0,13.03,1
137,0,0,1
138,0,0,1
139,0,48.09,1
140,0,0,1
141,0,0,1
142,1,68.93,1
143,0,0,1
144,0,0,1
145,0,0,1
146,0,30.81,1
147,0,0,1
148,0,0,1
149,0,38.59,1
150,0,0,1
151,0,0,1
152,0,0,1
153,0,0,1
154,0,0,1
155,0,44.14,1
156,0,42.56,1
157,0,0,1
158,0,40.88,1
159,0,37.73,1
160,0,0,1
161,0,0,1
162,0,0,1
163,0,0,1
164,0,0,1
165,0,0,1
166,0,0,1
167,0,28.65,1
